web-scraper-order,web-scraper-start-url,pages,pages-href,college,1st_year_fees,eligibility,details,city,image-src,course_name
1630560819-488,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,44,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-44,"Dun Laoghaire Institute of Art, Design and Technology", 13.9 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6","×Public university
                                                                                                                ×Scholarship
                                                                                                                ×Accommodation",", Dublin, Ireland","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Arts in 3D Animation
1630560725-131,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,15,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-15,Nipissing University, 20.2 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 93                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 63","✔Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", North Bay, Canada","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Mathematics
1630560776-304,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,33,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-33,Millennia Atlantic University, 8.0 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 62                                        
                                                                            
                                                                                        IELTS: 6","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ×Accommodation",", Miami, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Health Information Management
1630560687-40,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,5,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-5,University of Glasgow, 25.4 Lakhs,"Eligibility
                                                                            
                                                                                        IELTS: 6.5","✔Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Glasgow, UK","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Software Development MSc
1630560860-646,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,28,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-28,Bridgewater State University, 20.8 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 79                                        
                                                                            
                                                                                        IELTS: 6                                        
                                                                                                                +2 more
                                        
                                                                                            
                                                                                                        PTE: 53                                                
                                                                                            
                                                                                                        GRE: 290","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Bridgewater, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Computer Science
1630560865-667,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,26,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-26,Nova Southeastern University, 16.8 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 54","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Fort Lauderdale, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Computer Science (CSCI)
1630560838-559,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,36,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-36,University of California-Merced, 10.5 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                    GRE is accepted but exact exam score is not published by the college                                                    GRE: Accepted","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Merced, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",MS in Mechanical Engineering
1630560881-721,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,20,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-20,Adelphi University, 33.6 Lakhs,"Eligibility
                                                                            
                                            TOEFL is accepted but exact exam score is not published by the college                                            TOEFL: Accepted                                        
                                                                            
                                            IELTS is accepted but exact exam score is not published by the college                                            IELTS: Accepted","×Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", New York, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",MS in Computer Science
1630560796-389,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,41,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-41,Maria Curie-Sklodowska University, 1.8 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 87","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Lublin, Poland","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Chemistry
1630560887-736,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,18,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-18,University College Cork, 24.0 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 90                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 63","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Cork, Ireland","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Computer Science - Computing Science MSc
1630560805-421,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,45,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-45,Eastern Washington University, 27.6 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 92                                        
                                                                            
                                                                                        IELTS: 7                                        
                                                                                                                +2 more
                                        
                                                                                            
                                                    GRE is accepted but exact exam score is not published by the college                                                    GRE: Accepted                                                
                                                                                            
                                                                                                        PTE: 63","✔Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Cheney, USA",https://images.shiksha.com/mediadata/images/1545204893phpwlQEU4_172x115.jpeg,MS in Computer Science
1630560695-57,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,7,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-7,University of Bedfordshire, 18.7 Lakhs,"Eligibility
                                                                            
                                                                                        IELTS: 6                                        
                                                                            
                                            PTE is accepted but exact exam score is not published by the college                                            PTE: Accepted","✔Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Luton, UK","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",MSc Computer Science
1630560771-292,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,31,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-31,Marshall University, 25.4 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6.5","✔Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Huntington, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Information Systems (MSIS)
1630560865-655,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,26,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-26,Melbourne Institute of Technology, 12.2 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 60                                        
                                                                            
                                                                                        IELTS: 6                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 50","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ×Accommodation",", Melbourne, Australia","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Networking
1630560678-8,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,,,Harvard University, 41.4 Lakhs,"Eligibility
                                                                            
                                            TOEFL is accepted but exact exam score is not published by the college                                            TOEFL: Accepted                                        
                                                                            
                                            IELTS is accepted but exact exam score is not published by the college                                            IELTS: Accepted","×Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Cambridge, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",MS in Computational Science and Engineering
1630560782-330,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,35,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-35,Chapman University, 31.8 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 53","×Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", City of Orange, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",M.S in Pharmaceutical Sciences
1630560860-650,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,28,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-28,Villanova University, 27.8 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 90                                        
                                                                            
                                                                                        IELTS: 7                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        GRE: 305","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Radnor, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Computer Engineering
1630560771-297,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,31,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-31,The University of Texas Rio Grand Valley, 26.0 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 79                                        
                                                                            
                                                                                        IELTS: 6.5","✔Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Brownsville, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Master of Science in Applied Statistics and Data Science
1630560771-281,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,31,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-31,International Technological University, 14.5 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 72                                        
                                                                            
                                                                                        IELTS: 6","×Public university
                                                                                                                ×Scholarship
                                                                                                                ×Accommodation",", Santa Clara, USA",https://images.shiksha.com/mediadata/images/1613382895phpVtPoRF_172x115.jpeg,Master of Science in Information & Cybersecurity
1630560892-758,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,16,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-16,University of Bridgeport, 24.0 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 6.5                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                                                                        PTE: 58","×Public university
                                                                                                                ✔Scholarship
                                                                                                                ✔Accommodation",", Bridgeport, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",M.S. in Computer Science
1630560766-273,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,29,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-29,Vanderbilt University, 27.0 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 88","×Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Nashville, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC","Computer Science: M.S., Ph.D."
1630560892-762,https://studyabroad.shiksha.com/ms-in-abroad-dc11509,16,https://studyabroad.shiksha.com/ms-in-abroad-dc11509-16,"University of California, Davis", 39.8 Lakhs,"Eligibility
                                                                            
                                                                                        TOEFL: 80                                        
                                                                            
                                                                                        IELTS: 7                                        
                                                                                                                +1 more
                                        
                                                                                            
                                                    GRE is accepted but exact exam score is not published by the college                                                    GRE: Accepted","✔Public university
                                                                                                                ×Scholarship
                                                                                                                ✔Accommodation",", Davis, USA","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Masters of Science in Electrical and Computer Engineering
